20 68,101 85,99 57,139 76,138
29 87,99 105,98 77,138 97,138
13 107,98 126,96 98,138 118,137
9 135,96 156,94 128,137 150,137
1 157,94 180,92 152,137 175,136
4 182,92 205,91 177,136 202,136
2 208,90 232,88 205,136 231,135
plate 71,87 239,71 53,150 238,149
12 116,282 133,281 107,321 125,320
21 135,281 154,279 126,320 146,320
23 156,279 176,277 148,320 169,319
5 185,276 209,274 179,319 203,318
3 210,273 234,271 205,318 230,317
6 238,271 264,268 233,317 261,317
6 266,268 294,265 263,317 294,316
plate 118,269 303,246 102,332 303,331
