13 172,283 203,285 178,347 208,347
15 207,285 236,286 212,347 240,348
19 238,286 266,288 242,348 270,348
0 279,289 306,290 282,348 308,348
4 309,290 334,291 311,349 336,349
9 336,292 361,293 338,349 362,349
0 364,293 388,294 365,349 388,349
plate 166,256 394,272 177,364 394,364
13 73,334 82,334 79,350 88,350
22 83,334 93,334 89,350 97,350
28 93,334 102,334 97,350 106,350
0 107,333 117,333 110,350 119,350
3 118,333 127,333 120,350 129,350
2 128,333 138,333 130,350 139,350
0 139,333 149,332 141,350 149,350
plate 70,326 153,323 80,355 153,354
