25 33,232 64,237 19,310 54,312
22 68,238 97,242 58,312 89,313
20 99,243 125,247 91,313 119,314
4 136,249 159,252 131,315 155,316
9 161,253 182,256 158,316 180,317
6 184,256 203,260 181,317 202,318
3 205,260 223,263 204,318 222,319
plate 34,203 227,243 11,333 227,335
15 302,418 312,417 308,437 317,436
16 313,417 323,416 319,436 329,436
31 325,416 338,415 330,436 342,436
2 343,414 358,412 348,436 362,435
0 359,412 375,410 363,435 378,435
9 376,410 394,408 379,435 396,434
9 397,408 416,406 399,434 417,434
plate 298,411 423,393 308,441 423,441
