25 76,226 85,225 87,243 96,242
18 87,225 98,223 97,242 108,242
24 99,223 112,221 109,242 121,241
2 118,220 133,218 127,241 142,241
7 135,218 153,216 144,241 160,240
1 156,215 179,212 163,240 184,240
7 180,212 209,208 185,240 210,239
plate 70,219 217,192 88,247 218,246
14 157,157 164,156 160,170 167,170
25 165,156 173,156 168,170 176,170
12 173,156 182,155 176,170 184,170
8 186,155 195,154 188,170 197,170
7 196,154 205,153 198,170 207,169
4 206,153 217,152 208,169 218,169
8 218,152 229,152 219,169 229,169
plate 155,150 233,143 160,174 233,174
