26 73,192 84,191 82,211 92,211
26 85,191 97,191 93,211 104,211
22 99,190 111,190 106,211 117,211
4 116,189 129,189 122,211 134,211
0 130,188 144,188 135,211 148,210
1 147,187 162,187 150,210 164,210
1 163,187 179,186 165,210 180,210
plate 69,183 183,174 83,216 183,216
12 85,88 106,90 73,141 96,142
32 108,91 128,93 99,142 120,142
28 130,93 148,95 122,143 142,143
9 155,96 172,98 150,143 168,144
9 174,98 189,100 170,144 187,144
7 191,100 206,102 189,145 204,145
2 207,102 221,104 206,145 220,145
plate 86,70 224,90 67,155 224,156
