10 72,242 96,245 58,299 85,300
33 98,245 120,248 87,300 111,301
21 122,248 142,251 113,301 135,302
8 150,252 168,254 144,302 164,303
8 170,255 187,257 166,303 184,304
8 188,257 204,259 185,304 202,304
3 205,259 220,261 204,304 219,305
plate 75,221 223,246 51,317 223,318
27 291,82 307,84 288,119 304,119
22 308,85 322,87 305,119 320,120
23 324,87 337,90 323,120 336,121
4 342,90 353,92 341,121 352,122
3 354,93 364,94 353,122 363,122
7 365,95 374,96 365,122 374,123
6 375,96 383,98 375,123 383,123
plate 291,67 385,88 285,129 385,130
