30 33,251 57,252 21,307 46,307
29 59,252 83,253 49,307 74,308
32 85,253 108,254 76,308 101,308
4 118,254 141,255 112,308 136,308
7 143,255 164,256 138,308 161,308
0 167,256 187,257 163,308 185,309
2 189,257 209,257 187,309 209,309
plate 35,231 215,239 14,324 215,324
22 282,21 298,19 269,55 285,55
14 299,19 316,17 286,54 304,54
31 317,17 335,15 305,54 324,53
8 344,14 363,12 334,53 354,52
7 365,12 387,9 356,52 380,52
6 389,9 412,6 383,51 408,51
4 416,6 441,3 412,51 440,50
plate 286,9 449,-13 263,66 448,64
