22 76,188 95,191 72,235 92,235
11 98,191 116,194 95,236 114,236
10 117,194 134,197 115,236 132,237
5 141,198 155,200 139,237 154,238
4 157,200 169,202 156,238 169,238
3 171,202 183,204 170,238 183,239
1 184,204 196,206 184,239 196,239
plate 75,170 199,194 69,248 198,249
22 299,79 325,82 283,141 312,142
10 327,82 351,86 314,142 341,143
17 353,86 373,89 343,143 366,144
3 383,90 402,92 377,145 398,145
0 404,93 422,95 399,145 419,146
8 424,95 440,97 421,146 439,147
5 442,98 458,100 441,147 457,147
plate 302,56 462,83 276,161 462,162
