17 83,414 95,416 77,446 90,446
17 96,417 108,419 91,446 104,447
28 109,419 119,420 106,447 116,447
8 124,421 132,422 121,447 131,448
4 133,422 142,424 132,448 141,448
3 143,424 150,425 142,448 150,448
9 151,425 158,426 150,449 158,449
plate 84,404 160,419 74,453 159,454
14 105,220 122,219 118,252 134,252
22 124,219 142,218 136,252 153,251
15 144,218 163,216 155,251 173,251
3 172,216 192,215 181,251 200,251
6 195,215 217,213 202,251 223,250
9 219,213 243,212 225,250 247,250
1 246,211 271,210 249,250 272,250
plate 97,207 278,193 120,259 278,258
