26 278,14 294,12 291,42 306,41
29 296,12 313,9 308,41 325,40
10 315,9 335,6 327,40 347,40
5 346,4 371,1 357,39 381,39
1 374,0 405,-3 384,39 413,38
7 407,-3 444,-9 415,38 450,37
0 448,-9 494,-16 454,36 495,35
plate 271,2 507,-42 292,49 508,48
31 40,183 70,187 27,257 61,258
31 74,188 102,191 64,258 94,259
32 104,192 130,195 97,260 124,260
7 141,196 165,199 136,261 161,262
5 167,200 189,203 164,262 186,263
0 190,203 211,205 188,263 209,263
4 213,206 231,208 212,263 231,264
plate 41,155 236,188 20,279 236,280
