26 38,387 71,390 45,457 77,458
20 75,390 106,393 81,458 111,459
27 108,393 138,396 113,459 141,460
3 150,397 177,400 154,460 179,460
8 180,400 205,402 182,460 206,461
6 207,402 230,404 208,461 231,462
7 233,405 255,407 233,462 255,462
plate 31,357 260,384 43,476 260,477
16 331,116 339,116 339,130 346,129
20 339,115 348,115 347,129 355,129
12 349,114 358,113 356,129 365,129
2 363,113 374,112 369,129 379,129
3 375,112 388,110 380,129 392,128
7 389,110 403,109 393,128 406,128
4 404,109 422,107 407,128 423,128
plate 328,111 425,97 340,132 426,132
