10 184,126 198,124 171,157 185,157
19 199,124 213,123 187,157 202,156
19 215,123 230,121 204,156 220,156
4 237,121 253,119 227,156 245,155
0 255,119 273,117 247,155 267,155
2 275,117 294,115 269,155 290,154
3 296,115 317,113 293,154 316,153
plate 187,116 323,100 166,166 323,165
28 83,404 101,402 77,443 95,442
13 102,402 122,401 97,442 117,442
15 124,400 145,399 119,442 140,441
4 154,398 178,396 150,441 175,440
6 180,395 205,393 177,440 202,440
3 208,393 234,391 205,440 233,439
0 237,391 265,388 235,439 265,438
plate 83,390 274,368 73,454 274,453
