21 66,20 81,19 54,55 70,54
20 83,19 99,17 72,54 89,54
10 101,17 118,16 91,54 110,54
5 126,15 145,14 118,53 138,53
0 147,14 167,12 140,53 162,52
7 169,12 190,10 164,52 187,52
1 192,10 215,9 189,52 214,51
plate 68,8 221,-6 49,65 220,65
31 279,429 304,428 292,477 316,477
20 307,428 333,427 319,477 344,477
31 335,427 362,426 346,477 371,477
9 375,426 403,425 383,477 410,476
3 406,425 435,424 413,476 440,476
8 437,424 467,423 442,476 470,476
0 471,423 502,421 474,476 503,476
plate 270,408 510,397 293,489 511,489
