25 85,118 108,119 91,163 113,164
13 109,120 131,121 114,164 135,164
16 132,121 152,123 136,164 156,164
4 161,124 179,125 164,165 181,165
8 181,125 197,127 183,165 199,165
3 199,127 215,128 201,165 216,166
5 217,128 231,130 217,166 232,166
plate 79,97 236,114 90,175 236,176
13 205,332 225,333 197,375 218,376
17 226,333 244,335 219,376 239,376
16 245,335 263,336 240,376 259,376
4 271,337 286,338 267,377 283,377
8 288,338 303,339 285,377 301,377
4 304,339 318,340 302,377 317,378
1 320,340 333,342 319,378 333,378
plate 206,315 337,328 192,388 337,389
