28 152,208 162,209 147,231 158,231
29 163,209 173,210 159,231 170,232
28 173,210 181,211 170,232 179,232
2 185,211 193,212 183,232 192,232
1 194,212 201,213 193,232 200,233
8 202,213 209,214 201,233 208,233
0 210,214 215,215 209,233 215,233
plate 153,198 218,207 145,238 218,238
33 87,363 97,361 77,384 86,384
31 98,361 109,359 87,384 98,383
14 110,359 122,356 100,383 113,382
5 128,355 144,352 119,382 135,381
1 146,352 164,348 137,381 157,380
2 167,348 189,343 159,380 184,379
2 192,343 221,337 187,378 219,377
plate 90,356 229,324 73,390 228,388
