16 305,112 320,113 310,142 324,142
32 321,113 335,114 326,142 339,142
15 338,114 351,115 341,142 354,143
3 357,115 369,116 359,143 371,143
5 371,116 383,117 372,143 384,143
8 385,117 396,118 386,143 397,143
1 397,118 408,118 398,143 409,143
plate 301,99 411,108 311,150 411,150
23 102,188 118,190 98,226 114,227
21 120,190 135,192 117,227 132,227
12 137,192 151,194 134,227 149,228
9 157,194 170,196 155,228 168,229
3 171,196 183,198 169,229 182,229
7 183,198 195,199 183,229 194,229
6 196,199 206,200 196,229 206,230
plate 102,174 209,190 94,237 209,238
