30 43,428 72,432 55,488 81,489
19 74,433 100,436 84,489 107,490
26 102,437 125,440 110,490 131,491
5 134,441 155,444 139,491 158,491
3 157,444 175,447 160,491 177,492
6 177,447 193,449 179,492 195,493
3 195,450 210,452 196,493 211,493
plate 35,403 214,436 55,501 214,503
15 244,49 266,47 259,90 280,90
33 269,47 293,45 282,90 305,89
33 294,45 320,43 307,89 331,89
9 332,43 360,41 342,89 369,88
3 363,40 393,38 372,88 400,88
9 396,38 428,36 402,88 432,87
8 432,36 467,33 436,87 468,87
plate 235,31 477,8 260,100 477,100
