14 34,216 43,215 39,235 48,235
11 44,215 55,215 49,235 60,234
26 56,215 67,214 61,234 70,234
2 72,214 83,214 75,234 85,234
3 84,214 96,213 87,234 98,234
1 97,213 109,213 99,234 110,234
5 110,213 123,212 111,234 124,234
plate 31,208 126,203 40,239 126,238
10 357,45 364,44 352,62 360,62
12 365,44 374,44 361,62 370,62
27 375,44 383,43 371,62 379,62
1 388,43 397,42 384,62 394,62
8 398,42 408,41 395,62 406,61
5 409,41 420,40 407,61 418,61
3 421,40 433,39 419,61 433,61
plate 358,39 435,32 350,67 435,66
