11 339,119 347,119 342,135 350,135
13 348,119 357,118 351,135 359,135
11 357,118 366,118 359,135 368,135
4 370,118 380,118 372,135 381,135
4 381,118 390,117 382,135 391,135
1 391,117 401,117 392,135 401,134
0 402,117 411,117 402,134 411,134
plate 337,112 414,108 342,139 415,139
16 68,19 84,21 64,59 81,60
29 87,22 101,24 83,60 99,60
24 103,24 118,26 101,60 116,61
6 124,27 137,28 122,61 136,62
2 138,29 149,30 136,62 149,62
1 150,30 161,32 150,62 161,62
4 163,32 172,33 162,63 172,63
plate 67,4 175,23 60,70 175,71
