26 294,287 312,287 305,321 322,321
12 314,286 332,286 324,321 341,321
23 334,285 353,284 343,321 361,320
2 362,284 382,283 369,320 388,320
9 385,283 406,282 390,320 411,320
4 408,282 431,280 413,320 434,319
7 434,280 458,279 436,319 458,319
plate 288,274 464,262 306,329 464,328
32 72,61 89,59 65,96 82,96
11 90,59 108,58 83,96 102,95
21 110,57 128,56 104,95 123,95
8 138,55 159,53 133,94 154,94
0 161,53 184,50 156,94 180,93
7 186,50 210,48 182,93 208,92
8 213,48 240,45 211,92 239,92
plate 74,48 247,27 61,106 247,105
