24 70,273 81,272 79,295 90,294
17 83,272 95,271 92,294 103,294
24 97,271 111,270 105,294 118,294
2 117,270 132,269 124,294 138,294
2 133,269 150,267 139,294 154,293
0 151,267 169,266 155,293 171,293
3 171,266 189,265 174,293 190,293
plate 65,264 195,252 80,300 195,300
30 162,118 185,119 147,175 173,175
25 187,119 211,120 175,175 201,176
24 213,120 236,121 203,176 227,176
8 246,122 268,123 238,176 262,177
1 270,123 290,124 264,177 287,177
4 293,124 313,125 289,177 311,177
6 315,125 335,126 313,177 334,177
plate 164,98 340,108 139,192 340,193
