20 134,147 142,146 129,164 137,164
33 142,146 151,145 137,164 146,164
15 152,145 162,144 148,164 158,163
6 166,143 177,142 162,163 173,163
2 178,142 190,141 174,163 187,162
7 192,140 205,139 189,162 204,162
4 206,139 221,137 205,162 221,161
plate 135,141 226,127 126,170 225,169
31 73,30 86,28 60,59 73,58
28 88,28 102,26 74,58 90,58
32 103,26 119,23 91,57 108,57
6 126,23 144,20 116,56 135,56
9 146,20 166,17 137,56 159,55
4 168,17 191,14 161,55 186,54
3 193,14 219,10 189,54 218,53
plate 77,19 226,-4 54,68 225,66
