16 74,246 90,245 69,280 85,279
19 92,244 109,243 87,279 104,279
23 111,242 129,241 106,279 125,278
1 139,240 159,237 135,278 156,277
4 161,237 185,235 158,277 182,276
8 187,234 212,232 185,276 211,276
2 216,231 244,228 214,275 243,275
plate 75,234 252,210 66,289 252,288
20 276,164 288,163 268,190 281,190
15 289,163 303,161 281,190 295,189
25 303,161 318,160 296,189 311,189
7 325,159 340,157 319,189 335,188
7 342,157 359,155 337,188 355,188
7 361,155 379,153 357,188 377,187
2 382,153 402,151 379,187 401,186
plate 278,154 408,137 264,198 408,197
