24 88,311 99,310 82,337 94,336
29 101,310 113,309 95,336 108,336
12 114,309 128,308 109,336 123,336
4 134,307 148,306 130,335 144,335
1 150,306 165,305 146,335 162,335
9 167,304 184,303 164,335 182,334
5 185,303 204,301 183,334 203,334
plate 89,302 208,289 79,344 208,343
27 215,455 228,454 223,481 236,481
21 230,454 245,453 238,481 252,481
15 246,453 262,452 253,481 268,481
5 269,452 285,451 275,481 290,480
3 287,451 304,450 292,480 308,480
2 307,450 326,449 310,480 328,480
5 327,448 348,447 329,480 349,480
plate 210,444 353,433 223,488 354,488
