29 233,333 260,334 239,389 265,390
14 262,334 290,335 267,390 294,390
19 292,335 318,336 296,390 321,390
9 329,336 355,337 332,390 357,390
7 357,337 381,338 359,390 383,391
1 384,338 408,339 386,391 408,391
5 410,339 432,340 410,391 433,391
plate 227,310 439,319 237,404 439,405
21 106,275 119,276 96,309 111,309
18 121,276 134,277 113,309 127,310
15 135,277 148,278 129,310 143,310
9 154,278 166,279 149,310 162,310
9 167,279 179,280 163,310 176,310
7 179,280 191,281 177,310 189,311
2 192,281 202,282 191,311 202,311
plate 107,264 205,272 91,319 205,320
