15 3,182 31,187 -12,254 19,256
26 33,187 60,192 21,256 51,257
10 62,192 86,196 53,257 78,258
0 96,198 117,201 89,259 113,260
2 119,201 137,205 114,260 135,261
3 140,205 157,208 137,261 155,262
1 158,208 174,211 157,262 174,263
plate 4,156 179,193 -21,276 179,278
16 315,66 333,66 325,101 342,102
14 335,66 354,67 344,102 361,102
22 355,67 373,67 362,102 379,102
0 381,67 397,68 386,102 402,102
8 400,68 416,68 404,102 419,102
8 418,68 435,69 421,102 436,102
1 436,69 452,69 437,102 452,102
plate 308,50 456,55 326,110 456,111
