24 157,432 175,430 162,466 180,465
14 177,430 196,429 182,465 201,465
29 198,428 218,427 202,465 222,465
5 229,426 251,424 232,464 254,464
6 253,424 279,421 256,464 281,463
0 281,421 307,419 283,463 309,463
6 311,419 340,416 313,463 341,462
plate 153,418 349,396 162,475 349,474
19 69,49 87,51 64,92 83,93
31 89,52 107,53 85,93 103,93
22 108,54 124,55 104,93 121,94
3 131,56 145,58 129,94 143,95
9 146,58 159,59 145,95 158,95
0 161,60 174,61 160,95 173,95
0 175,61 187,62 174,95 187,96
plate 69,33 190,50 60,105 190,105
