17 33,51 65,52 50,113 79,113
10 69,52 99,53 83,113 111,113
30 102,54 131,55 113,113 141,114
4 145,55 173,56 153,114 180,114
8 177,57 204,58 183,114 209,114
7 206,58 233,59 210,114 235,114
1 236,59 262,60 238,114 262,115
plate 22,23 269,36 51,128 269,128
29 90,389 101,390 93,412 104,412
31 102,390 113,391 105,412 116,412
30 113,391 124,392 116,412 125,412
9 128,392 137,393 130,412 139,413
7 138,393 146,394 140,413 147,413
9 147,394 156,394 148,413 156,413
0 157,394 164,395 157,413 164,413
plate 86,378 166,387 93,418 166,418
