31 163,235 170,235 159,250 166,250
11 171,235 178,234 167,250 174,249
24 178,234 186,234 174,249 182,249
8 189,233 197,233 186,249 195,249
0 198,233 206,232 196,249 204,249
5 207,232 216,231 205,249 215,249
1 217,231 226,231 216,249 225,248
plate 165,230 229,223 157,254 229,254
20 83,367 94,366 69,393 81,393
29 96,366 108,364 82,393 95,392
21 109,363 123,361 96,392 110,391
7 129,360 145,358 117,391 134,390
4 146,358 164,355 136,390 156,389
5 166,354 187,351 158,389 181,388
2 190,351 214,347 184,388 212,387
plate 87,359 221,334 64,400 220,399
