14 50,94 63,92 39,123 53,122
17 64,92 79,90 54,122 69,122
17 80,90 97,88 71,122 88,121
0 104,87 123,85 96,121 115,120
0 125,84 145,82 117,120 139,119
7 147,82 171,79 142,119 167,118
3 173,78 199,75 169,118 198,117
plate 52,84 206,59 34,132 205,131
20 252,429 288,432 264,503 297,504
15 291,433 324,436 301,504 332,505
10 327,437 357,440 334,505 363,505
6 370,441 397,444 375,506 401,506
4 400,445 425,447 404,506 428,507
9 427,448 450,450 429,507 452,508
6 453,450 475,453 454,508 475,508
plate 242,396 480,430 263,522 480,523
