16 90,349 99,349 87,369 97,369
12 100,349 109,350 98,369 107,369
28 109,350 118,350 107,369 116,369
9 122,350 130,350 120,369 129,369
0 131,351 139,351 130,369 138,369
7 139,351 147,351 139,369 147,370
3 148,351 155,351 148,370 155,370
plate 91,341 158,344 85,375 158,375
26 315,177 332,176 309,213 327,212
27 334,176 351,175 328,212 347,212
22 353,175 372,174 348,212 368,212
9 380,173 400,172 376,212 397,211
0 402,172 423,170 399,211 420,211
5 425,170 447,169 423,211 446,210
3 449,169 473,167 448,210 472,210
plate 316,164 478,151 306,223 478,222
