14 76,145 88,143 59,175 72,174
32 90,143 105,140 73,174 89,173
22 106,140 122,137 90,173 107,172
3 131,136 151,132 116,172 138,171
3 153,132 176,128 140,171 165,169
1 179,127 207,122 169,169 199,168
7 209,122 242,116 202,167 239,165
plate 80,135 253,98 53,184 252,182
31 138,267 162,271 132,326 158,327
10 165,272 187,275 161,328 184,329
29 189,275 209,279 186,329 207,329
1 217,280 234,283 215,330 233,330
6 236,283 252,286 234,331 251,331
6 253,286 268,288 252,331 267,332
7 269,289 282,291 269,332 282,332
plate 137,246 286,277 128,342 286,343
