17 84,403 104,402 92,440 111,439
19 105,402 126,401 112,439 132,439
29 128,401 149,400 134,439 154,439
4 158,400 180,399 163,439 184,439
1 182,399 206,398 186,439 208,438
8 208,398 232,397 211,438 233,438
7 234,396 259,395 236,438 259,438
plate 79,387 265,377 92,449 265,449
12 156,238 174,238 165,274 182,274
19 177,238 195,239 184,274 201,275
29 196,239 214,240 202,275 219,275
9 222,240 238,241 226,275 242,275
1 240,241 256,241 244,275 259,275
9 258,241 275,242 261,275 276,275
9 276,242 292,242 277,275 292,275
plate 150,222 295,228 165,283 296,284
