29 255,70 263,69 252,87 260,86
16 264,69 272,68 261,86 269,86
31 274,68 283,67 271,86 281,86
9 288,66 299,65 285,85 296,85
6 300,65 312,63 297,85 310,85
1 314,63 328,61 312,84 327,84
5 329,61 345,59 328,84 345,83
plate 256,64 349,49 250,91 349,91
21 48,390 68,388 60,426 79,426
20 70,388 92,386 81,426 102,425
19 93,386 117,383 103,425 126,425
4 128,382 155,379 137,425 163,424
7 159,379 188,376 166,424 194,423
0 191,376 224,373 196,423 228,423
4 228,372 266,368 232,422 267,422
plate 41,375 277,343 60,436 277,435
