30 34,142 63,146 26,207 56,209
25 65,146 91,150 59,209 86,210
26 93,150 115,154 88,210 112,211
9 126,155 146,158 123,211 143,212
8 148,158 167,161 145,212 165,213
1 168,161 185,164 167,213 184,213
3 187,164 203,166 187,213 203,214
plate 35,117 207,149 21,227 207,228
11 276,348 293,346 270,383 287,383
31 295,345 314,343 289,383 308,382
27 315,343 336,340 309,382 331,381
3 346,339 370,336 341,381 366,380
7 373,336 400,332 369,380 396,379
4 402,332 433,328 399,379 430,378
7 437,327 472,323 434,378 471,377
plate 277,335 482,301 266,394 482,392
