19 52,222 67,221 59,248 73,248
17 68,221 84,219 74,248 89,248
25 84,219 101,218 90,248 106,248
6 109,217 127,216 114,247 131,247
8 129,216 148,215 133,247 151,247
5 151,214 171,213 154,247 173,246
1 174,213 197,211 176,246 197,246
plate 47,210 203,194 59,255 204,255
25 228,444 246,443 233,478 251,478
18 247,443 266,442 253,478 271,477
27 268,441 288,440 273,477 293,477
4 297,440 319,438 301,477 322,477
4 321,438 344,437 324,477 347,476
5 347,436 371,435 349,476 373,476
8 374,435 400,433 375,476 400,475
plate 223,430 406,415 233,487 406,487
