17 61,261 98,266 72,338 106,339
29 102,266 135,270 110,339 141,340
13 137,271 167,274 144,340 172,341
6 180,276 207,279 185,341 210,342
8 210,280 235,283 213,342 237,343
4 236,283 259,286 239,343 260,343
7 262,286 283,288 263,343 283,344
plate 52,228 288,266 71,357 288,358
19 309,273 331,275 315,317 337,318
23 333,275 354,276 338,318 358,318
22 355,276 375,278 359,318 379,319
5 384,279 402,280 387,319 404,319
7 404,280 421,281 406,319 422,319
1 423,281 438,283 424,319 439,320
4 440,283 455,284 441,320 456,320
plate 303,253 460,268 314,329 460,330
