24 61,317 94,322 66,390 99,391
23 97,322 128,327 101,392 132,393
12 131,327 158,331 134,393 161,394
8 170,332 195,336 172,394 196,395
4 196,336 218,339 198,395 219,396
2 221,340 241,343 222,396 241,396
0 242,343 261,345 243,396 261,397
plate 54,286 266,326 63,410 266,411
18 189,47 197,46 187,62 194,62
26 197,46 205,46 195,62 203,62
25 205,46 213,45 203,62 211,61
1 217,45 225,45 215,61 224,61
0 226,45 234,44 225,61 233,61
0 235,44 245,43 234,61 244,61
1 246,43 254,43 245,61 254,61
plate 189,40 258,35 185,66 258,66
