21 16,90 53,94 28,167 63,169
13 57,95 91,99 67,169 98,170
31 93,100 124,104 101,170 129,171
2 137,105 164,109 142,171 167,172
0 167,109 191,112 170,172 194,173
7 193,112 216,115 195,173 217,173
4 218,116 239,118 219,173 239,174
plate 6,55 244,96 27,187 245,188
28 293,150 299,149 286,163 292,163
14 299,149 306,148 293,163 300,163
11 307,148 314,147 300,163 308,162
6 318,146 326,145 312,162 321,162
2 327,145 338,143 322,162 333,161
4 339,143 350,141 334,161 347,161
0 351,141 366,138 348,160 365,160
plate 295,146 369,131 284,167 368,165
