17 111,166 123,167 116,188 127,189
31 124,167 135,168 129,189 139,189
31 135,168 146,168 139,189 149,189
9 150,169 160,169 153,189 162,189
3 161,170 169,170 163,189 171,189
2 170,170 179,171 172,189 180,189
3 180,171 187,172 181,189 188,190
plate 107,155 190,163 117,194 190,194
16 73,387 88,388 69,422 84,422
31 90,388 103,389 87,422 101,422
12 106,390 120,390 103,422 117,423
0 125,391 139,392 124,423 137,423
8 140,392 152,393 138,423 151,423
9 153,393 165,394 152,423 165,423
0 167,394 178,394 166,423 177,424
plate 72,375 181,384 66,432 181,432
