29 53,143 67,145 57,174 70,174
17 68,145 82,147 72,174 85,174
31 84,147 95,148 86,174 97,175
8 100,149 111,150 102,175 112,175
5 112,150 122,151 113,175 123,175
9 123,152 132,153 124,175 132,176
6 133,153 142,154 133,176 142,176
plate 50,131 143,146 57,180 143,181
26 161,322 194,325 168,393 200,394
24 198,326 230,329 204,394 234,395
16 232,329 261,332 236,395 265,395
7 274,333 300,335 277,396 303,396
0 303,336 328,338 306,396 330,397
7 330,338 353,340 331,397 354,397
5 356,341 378,343 357,398 378,398
plate 154,292 383,320 166,412 383,413
