20 75,137 91,136 86,164 101,164
17 92,136 109,135 102,164 118,164
26 110,135 128,134 119,164 136,164
0 136,133 155,132 144,164 161,163
4 157,132 177,131 163,163 181,163
8 179,130 200,129 184,163 203,163
1 203,129 225,127 206,163 226,162
plate 68,124 232,110 87,171 233,171
29 409,55 416,54 406,70 413,70
33 417,54 425,54 414,70 422,70
14 425,54 433,54 422,70 430,70
5 436,53 445,53 434,70 443,70
6 446,53 453,52 444,70 452,70
3 454,52 464,52 453,70 463,69
1 465,52 473,51 464,69 473,69
plate 410,49 477,44 404,75 476,75
