18 358,289 377,290 347,331 367,331
10 378,290 395,291 368,332 387,332
15 396,291 413,292 388,332 407,332
3 420,293 435,294 415,332 431,333
1 437,294 451,295 433,333 449,333
6 453,295 467,296 450,333 465,333
5 468,296 481,297 467,333 481,334
plate 360,273 485,284 341,344 485,345
16 245,419 271,418 264,465 287,465
15 274,418 300,417 290,465 315,465
15 302,417 329,415 316,465 342,465
9 342,415 371,414 354,464 380,464
1 374,414 404,412 383,464 411,464
2 407,412 438,411 413,464 442,464
1 441,411 474,410 445,464 475,463
plate 234,398 483,385 266,477 483,476
