22 59,345 76,347 53,387 71,387
12 78,347 95,349 73,387 91,388
26 96,349 112,350 92,388 109,388
8 119,351 133,352 116,388 130,389
5 134,352 147,354 132,389 146,389
3 149,354 162,355 148,389 161,389
4 163,355 175,356 162,389 175,390
plate 59,330 178,344 48,399 178,399
32 197,260 206,259 200,277 209,276
23 207,259 216,258 209,276 219,276
31 217,258 227,258 220,276 229,276
2 232,257 242,257 234,276 244,276
4 243,256 255,256 245,276 257,276
0 256,256 268,255 258,276 269,275
7 270,255 284,254 270,275 284,275
plate 195,253 286,245 200,280 286,280
