14 58,321 80,322 63,366 83,367
18 82,322 103,323 86,367 106,367
26 105,323 125,324 108,367 128,367
1 134,324 153,325 136,367 155,367
9 155,325 174,325 157,367 176,367
0 176,325 195,326 178,367 196,368
4 197,326 215,327 198,368 215,368
plate 54,304 220,311 62,377 220,377
33 367,193 383,192 374,221 389,221
19 384,192 400,191 390,221 406,221
16 401,191 419,190 407,221 423,220
9 427,189 445,188 431,220 448,220
9 447,188 466,187 450,220 468,220
3 468,187 488,185 471,220 490,219
1 491,185 512,184 492,219 513,219
plate 363,180 519,167 374,229 519,228
