22 23,397 58,402 38,466 69,467
21 61,402 92,407 72,467 101,468
22 95,407 121,411 103,468 128,469
0 133,413 157,416 139,470 161,470
1 159,416 181,419 163,470 183,471
2 182,419 202,422 185,471 203,472
1 204,423 222,425 205,472 222,472
plate 14,366 226,405 38,484 226,485
27 289,193 301,191 271,221 283,220
33 302,191 316,188 284,220 299,219
18 317,188 333,185 300,219 316,218
1 341,183 361,179 324,218 346,216
9 362,179 385,175 347,216 372,215
5 388,174 416,169 376,215 407,213
8 419,168 453,161 410,213 450,210
plate 294,184 465,144 265,229 463,227
