27 46,236 70,237 36,289 61,289
10 72,238 94,239 63,289 87,290
32 96,239 117,240 89,290 111,290
1 127,240 148,241 122,290 144,290
7 149,241 170,242 146,290 167,291
5 172,242 191,243 169,291 189,291
4 193,243 212,244 192,291 211,291
plate 48,217 217,226 30,305 217,305
31 261,52 276,53 250,90 267,91
22 278,53 293,54 269,91 286,91
27 294,54 309,55 287,91 303,91
2 315,56 329,56 310,91 325,92
8 330,57 343,57 327,92 341,92
9 345,57 358,58 342,92 356,92
5 359,58 371,59 357,92 371,93
plate 262,39 374,48 245,102 374,103
