27 74,417 105,420 80,479 110,480
33 107,420 135,423 112,480 139,481
32 138,424 162,426 141,481 165,482
6 174,427 197,430 177,482 198,483
5 198,430 220,432 200,483 221,483
4 222,433 241,435 223,483 242,484
9 244,435 262,437 245,484 262,484
plate 69,390 267,418 79,496 267,497
25 361,411 374,412 366,435 378,436
18 375,412 387,414 379,436 390,436
27 387,414 398,415 390,436 400,436
4 402,415 412,416 404,436 413,436
8 413,416 421,417 414,436 422,437
5 422,417 430,418 423,437 430,437
7 431,418 438,419 431,437 438,437
plate 357,399 440,411 367,441 440,442
