12 60,229 77,228 46,268 64,267
23 79,227 97,226 66,267 86,267
27 99,226 117,225 87,267 107,266
2 126,224 146,223 117,266 138,266
5 148,223 170,221 140,266 164,265
7 172,221 193,219 166,265 190,265
0 197,219 220,217 193,265 219,264
plate 63,215 226,200 40,280 226,279
11 64,320 82,318 49,359 68,358
10 83,318 101,317 70,358 89,358
14 103,317 121,316 91,358 110,357
3 130,315 150,314 120,357 142,357
6 152,313 173,312 144,357 167,356
3 175,312 197,310 169,356 193,356
9 200,310 223,308 196,356 222,355
plate 68,306 229,291 43,371 229,370
