file_name top_left top_right bottom_left bottom_right
1.jpg 199,200 296,202 196,246 293,250
2.jpg 189,172 283,171 191,213 282,211
3.jpg 270,202 347,203 268,235 345,234
4.jpg 264,209 376,209 265,259 375,260
5.jpg 167,200 266,203 163,246 262,250
6.jpg 226,200 305,201 226,241 304,241
7.jpg 130,222 201,223 126,263 197,267
8.jpg 223,197 297,197 223,230 296,232
9.jpg 215,221 310,224 212,264 306,267
10.jpg 182,184 305,186 177,242 302,247
11.jpg 236,185 340,186 235,232 338,234
12.jpg 183,165 272,170 178,217 266,222
13.jpg 178,171 275,178 171,232 267,241
14.jpg 166,174 270,181 163,226 267,228
15.jpg 250,201 388,200 249,265 387,263
16.jpg 268,187 353,189 266,228 352,229
17.jpg 130,201 239,207 125,251 235,257
18.jpg 246,213 334,217 244,252 331,256
19.jpg 315,184 472,194 313,258 467,266
20.jpg 205,188 310,192 200,237 304,241
21.jpg 97,220 197,227 89,270 191,278
22.jpg 261,238 352,242 258,281 349,283
23.jpg 234,181 347,187 232,234 344 239
24.jpg 181,189 276,194 179,241 274,244
25.jpg 51,232 176,239 42,287 167,295
