20 349,370 360,368 353,391 365,391
15 361,368 374,366 366,391 379,391
20 376,366 391,363 380,391 395,390
9 398,362 416,360 402,390 420,389
5 418,360 439,356 422,389 442,388
8 442,356 467,352 445,388 469,388
9 470,352 501,347 472,388 502,387
plate 346,361 510,330 353,397 510,395
18 45,435 72,438 52,494 78,494
24 75,439 99,442 80,494 103,495
18 102,443 124,446 106,495 127,496
3 132,447 152,450 135,496 154,497
1 154,450 171,452 156,497 173,497
2 173,452 189,455 174,498 190,498
6 191,455 206,457 191,498 206,499
plate 39,411 209,442 51,507 209,508
