16 61,103 90,104 71,158 97,159
16 92,104 119,106 100,159 125,159
25 121,106 146,108 128,159 151,160
4 158,108 181,110 162,160 185,160
0 183,110 206,111 186,160 209,160
7 208,111 230,113 211,160 231,161
7 232,113 253,114 234,161 253,161
plate 55,78 258,94 71,173 258,173
25 344,293 356,294 340,322 352,322
26 357,294 369,296 353,322 366,323
22 370,296 380,297 367,323 378,323
9 385,298 394,299 383,323 392,323
1 395,299 404,300 393,323 403,324
0 405,300 413,301 404,324 412,324
3 414,301 422,302 413,324 422,324
plate 345,283 423,294 337,329 423,330
