27 244,134 264,132 252,170 271,170
29 266,132 287,131 273,170 293,170
14 288,131 310,129 295,169 315,169
4 321,128 343,127 326,169 348,169
8 346,127 371,125 350,169 374,168
3 373,125 399,123 376,168 401,168
0 403,123 431,121 405,168 432,167
plate 240,118 439,101 252,180 439,179
28 61,19 79,18 51,60 71,60
21 81,18 101,17 72,60 93,59
27 102,17 122,16 95,59 115,59
3 132,15 152,14 126,59 147,59
4 154,14 176,13 149,58 173,58
9 178,13 200,12 175,58 198,58
2 203,12 227,11 201,58 226,57
plate 63,4 233,-6 47,72 233,71
