23 58,270 74,272 61,304 77,305
27 76,272 91,274 78,305 93,305
32 93,274 107,276 95,305 108,306
4 112,276 124,278 113,306 125,306
0 125,278 136,279 126,306 137,307
2 138,279 148,281 139,307 149,307
2 149,281 159,282 150,307 159,307
plate 55,255 161,272 61,313 161,314
14 150,243 155,242 144,255 150,254
26 156,242 162,241 151,254 157,254
17 162,241 169,240 157,254 164,254
2 172,240 179,239 167,254 176,253
7 180,239 188,238 177,253 185,253
8 189,237 199,236 186,253 197,253
8 200,236 210,234 198,253 210,252
plate 152,239 215,227 142,258 214,258
