16 305,475 319,477 309,506 322,506
13 320,477 334,479 324,506 337,506
22 336,479 347,480 338,506 349,507
3 352,481 363,482 354,507 364,507
7 364,482 374,483 365,507 375,507
6 375,484 384,485 376,507 384,508
1 385,485 394,486 385,508 394,508
plate 302,463 395,478 309,512 395,513
22 43,189 67,188 60,234 83,234
19 69,188 95,187 84,234 109,234
25 97,187 123,187 110,234 134,234
9 135,186 162,185 145,233 171,233
2 165,185 192,185 173,233 198,233
1 196,184 224,184 201,233 227,233
8 226,184 255,183 230,233 256,233
plate 32,169 264,160 61,245 264,245
