25 239,323 259,321 248,361 267,360
11 262,320 283,318 270,360 291,360
26 285,318 309,316 293,360 316,359
0 320,315 347,313 327,359 352,358
5 350,312 380,310 356,358 384,358
2 382,309 414,306 386,358 417,357
7 418,306 454,303 421,357 455,356
plate 233,307 464,278 248,370 465,370
30 80,135 96,133 95,164 111,164
33 98,133 117,130 112,163 131,163
10 119,130 139,128 132,163 152,162
9 150,127 176,124 162,162 187,162
7 178,123 206,120 189,161 215,161
2 210,119 243,116 219,161 249,160
4 246,115 285,111 252,160 287,159
plate 71,123 298,86 97,171 299,170
