24 82,45 96,43 69,75 83,75
27 97,43 113,40 84,75 101,74
15 114,40 132,37 102,74 120,73
4 140,36 162,32 129,73 152,72
0 163,32 187,28 154,72 179,71
4 190,28 218,23 183,70 213,69
4 221,23 253,18 215,69 252,67
plate 85,34 264,0 64,85 263,83
19 368,39 379,39 373,60 383,60
26 380,39 391,38 384,60 395,60
21 393,38 405,37 397,60 409,60
2 410,37 423,37 414,60 426,60
5 424,37 438,36 427,60 440,59
6 440,36 454,35 442,59 455,59
3 455,35 470,34 456,59 470,59
plate 365,30 473,24 373,66 473,65
