19 35,218 54,216 45,253 63,252
25 55,216 76,214 64,252 84,252
25 78,214 100,212 86,252 107,251
8 110,211 136,208 117,251 142,251
8 138,208 166,206 144,251 170,250
8 169,205 200,202 174,250 202,249
4 202,202 236,199 205,249 237,248
plate 29,204 246,177 45,262 247,261
20 133,77 148,76 141,105 157,105
22 150,76 167,74 158,105 175,105
19 169,74 187,72 176,105 194,104
4 196,71 218,69 203,104 223,103
4 220,69 244,66 226,103 248,103
6 246,66 273,63 251,103 276,102
0 276,63 307,60 279,102 308,101
plate 127,66 315,40 142,113 315,112
