33 51,449 76,451 57,501 80,502
23 78,451 101,453 83,502 104,502
32 103,454 124,455 107,502 127,503
8 133,456 152,458 135,503 154,503
0 154,458 173,460 156,503 174,504
7 175,460 192,461 176,504 192,504
5 193,462 210,463 194,504 210,504
plate 47,429 214,448 55,513 214,514
26 274,240 292,239 284,272 301,271
16 293,238 312,237 302,271 321,271
13 314,236 334,234 322,271 342,270
6 345,233 367,231 352,270 374,270
9 370,231 396,228 376,270 401,269
3 398,228 426,226 403,269 430,268
6 430,225 462,222 433,268 463,268
plate 268,227 471,201 285,280 471,279
