18 67,59 84,61 71,95 87,96
12 85,62 101,64 89,96 103,96
21 103,64 117,66 106,96 119,97
3 122,67 135,68 124,97 136,97
7 136,69 147,70 137,97 148,98
0 149,70 159,72 149,98 159,98
6 160,72 169,73 160,98 169,98
plate 63,43 171,63 71,104 171,105
33 98,218 115,215 92,253 108,252
21 117,215 135,213 111,252 129,251
13 137,213 157,210 131,251 152,251
4 167,209 191,205 162,250 187,249
1 194,205 221,202 190,249 218,248
0 223,201 254,197 220,248 252,247
1 258,197 293,192 256,247 293,246
plate 98,204 304,170 88,263 304,261
