33 57,326 82,328 62,378 86,378
33 84,328 108,330 88,378 112,378
23 111,330 134,331 114,378 136,379
6 143,332 165,333 145,379 166,379
3 167,333 187,334 168,379 188,380
7 189,335 209,336 190,380 209,380
6 211,336 229,337 211,380 230,380
plate 52,305 234,320 60,391 234,392
22 153,199 160,199 160,211 166,210
27 160,198 168,197 166,210 174,210
22 169,197 177,196 175,210 182,210
4 181,196 191,194 187,210 196,210
0 192,194 205,192 197,210 209,209
3 206,192 221,190 210,209 223,209
5 222,190 241,187 225,209 242,208
plate 150,195 245,178 160,213 246,212
