11 202,390 217,388 190,422 206,421
26 218,388 234,386 207,421 224,421
32 236,386 253,384 225,421 243,420
0 262,382 281,380 253,420 273,419
3 283,380 306,377 275,419 300,418
0 308,377 332,374 302,418 328,417
6 336,373 363,370 332,417 362,416
plate 205,379 371,352 185,432 371,430
15 24,257 59,261 39,328 71,329
14 62,261 95,266 73,329 104,330
13 97,266 126,269 106,330 133,331
8 138,271 165,274 144,331 169,332
6 167,274 190,277 171,332 193,333
9 193,277 214,280 195,333 216,334
4 216,280 236,283 217,334 236,334
plate 13,225 241,262 38,346 241,347
