16 50,157 68,155 39,197 58,196
28 69,155 89,154 59,196 80,196
14 90,153 111,152 82,196 103,195
2 120,151 143,149 113,195 137,194
6 145,149 169,147 139,194 164,194
0 172,147 197,144 167,194 194,193
1 199,144 227,142 197,193 226,192
plate 52,143 235,123 34,208 235,207
32 418,269 428,270 414,292 425,292
17 430,270 439,271 427,293 437,293
32 439,271 448,272 437,293 446,293
5 452,273 460,273 450,293 459,293
7 461,274 468,274 460,293 467,294
3 469,274 476,275 468,294 476,294
6 477,275 483,276 476,294 483,294
plate 419,259 485,268 412,299 485,299
