13 379,149 391,149 383,175 395,175
22 393,149 406,148 397,175 409,175
13 408,148 422,148 411,175 424,175
4 428,148 442,147 430,175 444,174
5 443,147 459,147 445,174 460,174
0 460,146 475,146 461,174 476,174
7 478,146 493,145 478,174 493,174
plate 376,139 497,134 382,182 497,182
29 68,185 80,186 61,215 74,215
20 81,186 92,188 75,215 88,215
17 94,188 103,190 89,216 100,216
6 108,190 116,191 105,216 114,216
0 117,192 126,193 115,216 125,217
3 127,193 134,194 125,217 133,217
9 135,194 142,195 134,217 142,217
plate 69,175 144,188 58,222 144,223
